year,india,china,USA,Indonesia,Pakistan,Nigeria,brazil,Bangladesh,Russia,Mexico
2050,1670490596,1312636325,375391963,317225213,367808468,377459883,230885725,203904900,133133035,143772364
2045,1645863187,1349756901,371715154,313666981,345818945,349603702,231122502,200709378,135171274,142919109
2040,1611676333,1377556938,366616240,308164809,322595767,320779660,230132293,196526123,137110991,141055171
2035,1567802259,1399547500,360016420,300882677,298432780,291591598,227705396,191166614,139227987,138200922
2030,1514994080,1415605906,352162301,292150100,274029836,262580426,223908968,184424144,141432741,134534107
2025,1454606724,1424381924,343603404,282004306,249948885,234573603,218803058,176421509,143494210,130301391
2024,1441719852,1425178782,341814420,279798049,245209815,229152217,217637297,174701211,143957079,129388467
2023,1428627663,1425671352,339996563,277534122,240485658,223804632,216422446,172954319,144444359,128455567
2022,1417173173,1425887337,338289857,275501339,235824862,218541212,215313498,171186372,144713314,127504125
2020,1396387127,1424929781,335942003,271857970,227196741,208327405,213196304,167420951,145617329,125998302
2015,1322866505,1393715448,324607776,259091970,210969298,183995785,205188205,157830000,144668389,120149897
2010,1240613620,1348191368,311182845,244016173,194454498,160952853,196353492,148391139,143242599,112532401
2005,1154638713,1304887562,296842670,228805144,174372098,140490722,186797334,140912590,143800049,105442402
2000,1059633675,1264099069,282398554,214072421,154369924,122851984,175873720,129193327,146844839,97873442
1995,964279129,1218144426,265660556,198140162,133117476,108187610,163515328,117793338,148557451,89969572
1990,870452165,1153704252,248083732,182159874,115414069,95214257,150706446,107147651,148005704,81720428
1985,780242084,1060239979,235146182,165791694,97121552,83585251,136783180,95959099,142896392,74872006
1980,696828385,982372466,223140018,148177096,80624057,72951439,122288383,83929765,138257420,67705186
1975,623524219,915124661,211274535,131213215,68126999,62851312,108700515,74700345,133841842,58691882
1970,557501301,822534450,200328340,115228394,59290872,55569264,96369875,67541860,130093010,50289306
1965,500114346,723846349,189703283,101157868,51841626,49925799,84623747,58500159,126400607,42737991
1960,445954579,654170692,176188578,88382881,45954226,44928342,73092515,50396429,119735095,36268055
1955,398577992,603320147,161136449,77741502,41023128,40839223,62701031,44315548,110971852,31452141
